video_id,split,class_id,signer_id,EN,TR,frames
signer34_sample52_color,test,9,34,wise,akilli,68
signer34_sample53_color,test,185,34,milk,sut,60
signer34_sample54_color,test,210,34,band-aid,yarabandi,61
signer34_sample55_color,test,164,34,request,rica_etmek,59
signer34_sample56_color,test,221,34,road,yol,56
signer34_sample57_color,test,92,34,never,hic,53
signer34_sample58_color,test,216,34,slow,yavas,40
signer34_sample59_color,test,110,34,if_only,keske,45
signer34_sample60_color,test,205,34,tax,vergi,60
signer34_sample61_color,test,96,34,medicine,ilac,51
signer34_sample62_color,test,41,34,ugly,cirkin,71
signer34_sample63_color,test,143,34,teacher,ogretmen,54
signer34_sample64_color,test,216,34,slow,yavas,60
signer34_sample65_color,test,184,34,promise,soz,53
signer34_sample66_color,test,209,34,do,yapmak,51
signer34_sample67_color,test,144,34,school,okul,55
signer34_sample68_color,test,202,34,far,uzak,42
signer34_sample69_color,test,126,34,scissors,makas,49
signer34_sample70_color,test,213,34,forbidden,yasak,36
signer34_sample71_color,test,5,34,tree,agac,67
signer34_sample72_color,test,184,34,promise,soz,66
signer34_sample73_color,test,116,34,female,kiz,38
signer34_sample74_color,test,61,34,retired,emekli,68
signer34_sample75_color,test,211,34,help,yardim,63
signer34_sample76_color,test,69,34,photograph,fotograf,64
signer34_sample77_color,test,85,34,towel,havlu,57
signer34_sample78_color,test,39,34,teapot,caydanlik,44
signer34_sample79_color,test,22,34,look,bakmak,64
signer34_sample80_color,test,49,34,change,degistirmek,60
signer34_sample81_color,test,37,34,fork,catal,53
signer34_sample82_color,test,74,34,lake,gol,70
signer34_sample83_color,test,202,34,far,uzak,56
signer34_sample84_color,test,170,34,hat,sapka,60
signer34_sample85_color,test,162,34,police,polis,48
signer34_sample86_color,test,148,34,they,onlar,49
signer34_sample87_color,test,153,34,trousers,pantolon,55
signer34_sample88_color,test,73,34,bring,getirmek,55
signer34_sample89_color,test,160,34,thursday,persembe,60
signer34_sample90_color,test,67,34,memorize,ezberlemek,70
signer34_sample91_color,test,128,34,god_preserve,masallah,50
signer34_sample92_color,test,204,34,existing,var,60
signer34_sample93_color,test,100,34,good,iyi,31
signer34_sample94_color,test,155,34,pastrami,pastirma,56
signer34_sample95_color,test,3,34,enjoy_your_meal,afiyet_olsun,65
signer34_sample96_color,test,223,34,egg,yumurta,40
signer34_sample97_color,test,94,34,drink,icmek,57
signer34_sample98_color,test,159,34,window,pencere,84
signer34_sample99_color,test,8,34,family,aile,61
signer34_sample100_color,test,65,34,yes,evet,59
signer34_sample101_color,test,65,34,yes,evet,53
signer34_sample102_color,test,99,34,push,itmek,46
signer34_sample103_color,test,221,34,road,yol,59
signer34_sample104_color,test,92,34,never,hic,59
signer34_sample105_color,test,58,34,pharmacy,eczane,64
signer34_sample106_color,test,124,34,stain,leke,57
signer34_sample107_color,test,53,34,full,dolu,57
signer34_sample108_color,test,88,34,animal,hayvan,58
signer34_sample109_color,test,176,34,bill,senet,72
signer34_sample110_color,test,48,34,grandfather,dede,40
signer34_sample111_color,test,149,34,forest,orman,61
signer34_sample112_color,test,111,34,who,kim,69
signer34_sample113_color,test,217,34,eat,yemek,37
signer34_sample114_color,test,161,34,picnic,piknik,56
signer34_sample115_color,test,11,34,kin,akraba,53
signer34_sample116_color,test,50,34,topple,devirmek,64
signer34_sample117_color,test,90,34,halal,helal,58
signer34_sample118_color,test,147,34,allright,olur,54
signer34_sample119_color,test,106,34,sibling,kardes,61
signer34_sample120_color,test,81,34,carpet,hali,48
signer34_sample121_color,test,72,34,get_well,gecmis_olsun,67
signer34_sample122_color,test,15,34,friend,arkadas,64
signer34_sample123_color,test,102,34,breakfast,kahvalti,61
signer34_sample124_color,test,26,34,feast,bayram,40
signer34_sample125_color,test,36,34,wednesday,carsamba,64
signer34_sample126_color,test,1,34,hurry,acele,53
signer34_sample127_color,test,121,34,bridge,kopru,65
signer34_sample128_color,test,107,34,crossroads,kavsak,38
signer34_sample129_color,test,186,34,okay,tamam,48
signer34_sample130_color,test,33,34,inform,bilgi_vermek,66
signer34_sample131_color,test,75,34,shirt,gomlek,73
signer34_sample132_color,test,217,34,eat,yemek,56
signer34_sample133_color,test,178,34,voice,ses,61
signer34_sample134_color,test,205,34,tax,vergi,53
signer34_sample135_color,test,225,34,difficult,zor,53
signer34_sample136_color,test,71,34,past,gecmis,62
signer34_sample137_color,test,166,34,soap,sabun,57
signer34_sample138_color,test,59,34,glove,eldiven,63
signer34_sample139_color,test,35,34,work,calismak,49
signer34_sample140_color,test,200,34,toilet,tuvalet,58
signer34_sample141_color,test,105,34,door,kapi,55
signer34_sample142_color,test,188,34,date,tarih,59
signer34_sample143_color,test,165,34,hour,saat,57
signer34_sample144_color,test,99,34,push,itmek,45
signer34_sample145_color,test,66,34,married,evli,60
signer34_sample146_color,test,78,34,laugh,gulmek,57
signer34_sample147_color,test,80,34,right,hakli,49
signer34_sample148_color,test,155,34,pastrami,pastirma,42
signer34_sample149_color,test,116,34,female,kiz,62
signer34_sample150_color,test,157,34,sunday,pazar,66
signer34_sample151_color,test,106,34,sibling,kardes,66
signer34_sample152_color,test,147,34,allright,olur,38
signer34_sample153_color,test,6,34,heavy,agir,47
signer34_sample154_color,test,80,34,right,hakli,41
signer34_sample155_color,test,21,34,garden,bahce,73
signer34_sample156_color,test,181,34,border,sinir,58
signer34_sample157_color,test,28,34,single,bekar,60
signer34_sample158_color,test,177,34,free,serbest,45
signer34_sample159_color,test,164,34,request,rica_etmek,60
signer34_sample160_color,test,203,34,sad,uzgun,53
signer34_sample161_color,test,163,34,psychology,psikoloji,52
signer34_sample162_color,test,9,34,wise,akilli,69
signer34_sample163_color,test,25,34,flag,bayrak,80
signer34_sample164_color,test,192,34,danger,tehlike,57
signer34_sample165_color,test,162,34,police,polis,58
signer34_sample166_color,test,100,34,good,iyi,54
signer34_sample167_color,test,101,34,escape,kacmak,47
signer34_sample168_color,test,25,34,flag,bayrak,72
signer34_sample169_color,test,129,34,angel,melek,60
signer34_sample170_color,test,42,34,child,cocuk,65
signer34_sample171_color,test,187,34,comb,tarak,69
signer34_sample172_color,test,117,34,smell,koku,56
signer34_sample173_color,test,175,34,you,sen,52
signer34_sample174_color,test,33,34,inform,bilgi_vermek,67
signer34_sample175_color,test,36,34,wednesday,carsamba,56
signer34_sample176_color,test,161,34,picnic,piknik,56
signer34_sample177_color,test,97,34,not_interested,ilgilenmemek,61
signer34_sample178_color,test,169,34,champion,sampiyon,63
signer34_sample179_color,test,87,34,congratulations,hayirli_olsun,59
signer34_sample180_color,test,28,34,single,bekar,61
signer34_sample181_color,test,211,34,help,yardim,49
signer34_sample182_color,test,44,34,friday,cuma,36
signer34_sample183_color,test,158,34,monday,pazartesi,59
signer34_sample184_color,test,180,34,evil,seytan,69
signer34_sample185_color,test,126,34,scissors,makas,23
signer34_sample186_color,test,58,34,pharmacy,eczane,61
signer34_sample187_color,test,127,34,tongs,masa,23
signer34_sample188_color,test,135,34,tap,musluk,55
signer34_sample189_color,test,90,34,halal,helal,70
signer34_sample190_color,test,46,34,wallet,cuzdan,46
signer34_sample191_color,test,224,34,time,zaman,40
signer34_sample192_color,test,20,34,father,baba,67
signer34_sample193_color,test,206,34,near,yakin,43
signer34_sample194_color,test,112,34,identity,kimlik,38
signer34_sample195_color,test,7,34,cry,aglamak,67
signer34_sample196_color,test,139,34,grandmother,nine,45
signer34_sample197_color,test,144,34,school,okul,53
signer34_sample198_color,test,34,34,we,biz,59
signer34_sample199_color,test,145,34,olympiad,olimpiyat,50
signer34_sample200_color,test,214,34,pillow,yastik,51
signer34_sample201_color,test,131,34,napkin,mendil,38
signer34_sample202_color,test,29,34,wait,beklemek,65
signer34_sample203_color,test,74,34,lake,gol,71
signer34_sample204_color,test,201,34,flour,un,79
signer34_sample205_color,test,20,34,father,baba,70
signer34_sample206_color,test,25,34,flag,bayrak,76
signer34_sample207_color,test,191,34,ceiling,tavan,61
signer34_sample208_color,test,198,34,turkey,turkiye,87
signer34_sample209_color,test,185,34,milk,sut,58
signer34_sample210_color,test,136,34,how,nasil,41
signer34_sample211_color,test,76,34,see,gormek,62
signer34_sample212_color,test,103,34,pencil,kalem,54
signer34_sample213_color,test,132,34,stairs,merdiven,58
signer34_sample214_color,test,222,34,tired,yorgun,63
signer34_sample215_color,test,166,34,soap,sabun,40
signer34_sample216_color,test,211,34,help,yardim,60
signer34_sample217_color,test,224,34,time,zaman,63
signer34_sample218_color,test,91,34,always,hep,47
signer34_sample219_color,test,200,34,toilet,tuvalet,59
signer34_sample220_color,test,130,34,be_pleased,memnun_olmak,62
signer34_sample221_color,test,160,34,thursday,persembe,51
signer34_sample222_color,test,126,34,scissors,makas,48
signer34_sample223_color,test,179,34,love,sevmek,54
signer34_sample224_color,test,202,34,far,uzak,62
signer34_sample225_color,test,204,34,existing,var,42
signer34_sample226_color,test,13,34,key,anahtar,65
signer34_sample227_color,test,89,34,gift,hediye,44
signer34_sample228_color,test,62,34,male,erkek,65
signer34_sample229_color,test,127,34,tongs,masa,45
signer34_sample230_color,test,30,34,I,ben,49
signer34_sample231_color,test,214,34,pillow,yastik,76
signer34_sample232_color,test,134,34,manager,mudur,60
signer34_sample233_color,test,224,34,time,zaman,60
signer34_sample234_color,test,177,34,free,serbest,55
signer34_sample235_color,test,115,34,mince,kiyma,42
signer34_sample236_color,test,165,34,hour,saat,60
signer34_sample237_color,test,195,34,tailor,terzi,62
signer34_sample238_color,test,225,34,difficult,zor,56
signer34_sample239_color,test,162,34,police,polis,57
signer34_sample240_color,test,75,34,shirt,gomlek,74
signer34_sample241_color,test,31,34,petrol,benzin,82
signer34_sample242_color,test,32,34,together,beraber,44
signer34_sample243_color,test,171,34,war,savas,58
signer34_sample244_color,test,0,34,sister,abla,63
signer34_sample245_color,test,35,34,work,calismak,58
signer34_sample246_color,test,206,34,near,yakin,54
signer34_sample247_color,test,63,34,meal,et,64
signer34_sample248_color,test,157,34,sunday,pazar,42
signer34_sample249_color,test,138,34,where,nerede,47
signer34_sample250_color,test,48,34,grandfather,dede,59
signer34_sample251_color,test,45,34,saturday,cumartesi,43
signer34_sample252_color,test,218,34,cook,yemek_pisirmek,69
signer34_sample253_color,test,89,34,gift,hediye,68
signer34_sample254_color,test,113,34,rent,kira,54
signer34_sample255_color,test,86,34,no,hayir,44
signer34_sample256_color,test,59,34,glove,eldiven,74
signer34_sample257_color,test,84,34,fault,hata,66
signer34_sample258_color,test,100,34,good,iyi,44
signer34_sample259_color,test,42,34,child,cocuk,68
signer34_sample260_color,test,168,34,tuesday,sali,54
signer34_sample261_color,test,220,34,absent,yok,59
signer34_sample262_color,test,8,34,family,aile,60
signer34_sample263_color,test,93,34,goodbye,hoscakal,38
signer34_sample264_color,test,154,34,money,para,59
signer34_sample265_color,test,134,34,manager,mudur,56
signer34_sample266_color,test,143,34,teacher,ogretmen,38
signer34_sample267_color,test,176,34,bill,senet,68
signer34_sample268_color,test,189,34,holiday,tatil,56
signer34_sample269_color,test,198,34,turkey,turkiye,68
signer34_sample270_color,test,103,34,pencil,kalem,49
signer34_sample271_color,test,140,34,oven,ocak,47
signer34_sample272_color,test,170,34,hat,sapka,65
signer34_sample273_color,test,109,34,belt,kemer,62
signer34_sample274_color,test,195,34,tailor,terzi,63
signer34_sample275_color,test,112,34,identity,kimlik,56
signer34_sample276_color,test,199,34,orange,turuncu,60
signer34_sample277_color,test,24,34,glass,bardak,59
signer34_sample278_color,test,207,34,alone,yalniz,40
signer34_sample279_color,test,76,34,see,gormek,63
signer34_sample280_color,test,43,34,soup,corba,49
signer34_sample281_color,test,168,34,tuesday,sali,40
signer34_sample282_color,test,19,34,same,ayni,48
signer34_sample283_color,test,222,34,tired,yorgun,65
signer34_sample284_color,test,138,34,where,nerede,48
signer34_sample285_color,test,101,34,escape,kacmak,45
signer34_sample286_color,test,207,34,alone,yalniz,76
signer34_sample287_color,test,0,34,sister,abla,65
signer34_sample288_color,test,97,34,not_interested,ilgilenmemek,38
signer34_sample289_color,test,36,34,wednesday,carsamba,61
signer34_sample290_color,test,151,34,apologize,ozur_dilemek,67
signer34_sample291_color,test,2,34,hungry,acikmak,61
signer34_sample292_color,test,17,34,shoe,ayakkabi,63
signer34_sample293_color,test,163,34,psychology,psikoloji,66
signer34_sample294_color,test,3,34,enjoy_your_meal,afiyet_olsun,64
signer34_sample295_color,test,187,34,comb,tarak,64
signer34_sample296_color,test,30,34,I,ben,45
signer34_sample297_color,test,176,34,bill,senet,66
signer34_sample298_color,test,149,34,forest,orman,48
signer34_sample299_color,test,40,34,hammer,cekic,36
signer34_sample300_color,test,49,34,change,degistirmek,59
signer34_sample301_color,test,129,34,angel,melek,52
signer34_sample302_color,test,92,34,never,hic,51
signer34_sample303_color,test,98,34,light,isik,45
signer34_sample304_color,test,51,34,government,devlet,68
signer34_sample305_color,test,78,34,laugh,gulmek,38
signer34_sample306_color,test,47,34,minute,dakika,36
signer34_sample307_color,test,110,34,if_only,keske,61
signer34_sample308_color,test,14,34,mother,anne,55
signer34_sample309_color,test,33,34,inform,bilgi_vermek,41
signer34_sample310_color,test,16,34,ataturk,ataturk,67
signer34_sample311_color,test,98,34,light,isik,64
signer34_sample312_color,test,121,34,bridge,kopru,65
signer34_sample313_color,test,208,34,wrong,yanlis,71
signer34_sample314_color,test,105,34,door,kapi,57
signer34_sample315_color,test,139,34,grandmother,nine,60
signer34_sample316_color,test,85,34,towel,havlu,43
signer34_sample317_color,test,112,34,identity,kimlik,62
signer34_sample318_color,test,175,34,you,sen,50
signer34_sample319_color,test,3,34,enjoy_your_meal,afiyet_olsun,64
signer34_sample320_color,test,7,34,cry,aglamak,64
signer34_sample321_color,test,27,34,baby,bebek,38
signer34_sample322_color,test,12,34,shopping,alisveris,66
signer34_sample323_color,test,18,34,mirror,ayna,53
signer34_sample324_color,test,68,34,elephant,fil,76
signer34_sample325_color,test,61,34,retired,emekli,71
signer34_sample326_color,test,188,34,date,tarih,39
signer34_sample327_color,test,193,34,telephone,telefon,57
signer34_sample328_color,test,115,34,mince,kiyma,69
signer34_sample329_color,test,163,34,psychology,psikoloji,68
signer34_sample330_color,test,149,34,forest,orman,74
signer34_sample331_color,test,190,34,sweet,tatli,57
signer34_sample332_color,test,107,34,crossroads,kavsak,66
signer34_sample333_color,test,193,34,telephone,telefon,58
signer34_sample334_color,test,40,34,hammer,cekic,52
signer34_sample335_color,test,102,34,breakfast,kahvalti,62
signer34_sample336_color,test,204,34,existing,var,51
signer34_sample337_color,test,197,34,screwdriver,tornavida,60
signer34_sample338_color,test,18,34,mirror,ayna,44
signer34_sample339_color,test,6,34,heavy,agir,58
signer34_sample340_color,test,210,34,band-aid,yarabandi,58
signer34_sample341_color,test,186,34,okay,tamam,51
signer34_sample342_color,test,107,34,crossroads,kavsak,65
signer34_sample343_color,test,141,34,room,oda,63
signer34_sample344_color,test,38,34,tea,cay,61
signer34_sample345_color,test,78,34,laugh,gulmek,58
signer34_sample346_color,test,180,34,evil,seytan,44
signer34_sample347_color,test,214,34,pillow,yastik,73
signer34_sample348_color,test,56,34,enemy,dusman,70
signer34_sample349_color,test,88,34,animal,hayvan,58
signer34_sample350_color,test,142,34,wood,odun,51
signer34_sample351_color,test,73,34,bring,getirmek,53
signer34_sample352_color,test,34,34,we,biz,60
signer34_sample353_color,test,6,34,heavy,agir,47
signer34_sample354_color,test,124,34,stain,leke,38
signer34_sample355_color,test,192,34,danger,tehlike,62
signer34_sample356_color,test,137,34,why,neden,55
signer34_sample357_color,test,44,34,friday,cuma,59
signer34_sample358_color,test,223,34,egg,yumurta,60
signer34_sample359_color,test,148,34,they,onlar,48
signer34_sample360_color,test,193,34,telephone,telefon,60
signer34_sample361_color,test,64,34,house,ev,58
signer34_sample362_color,test,96,34,medicine,ilac,51
signer34_sample363_color,test,201,34,flour,un,79
signer34_sample364_color,test,120,34,dog,kopek,64
signer34_sample365_color,test,145,34,olympiad,olimpiyat,60
signer34_sample366_color,test,167,34,sauce,salca,73
signer34_sample367_color,test,209,34,do,yapmak,51
signer34_sample368_color,test,152,34,cotton,pamuk,57
signer34_sample369_color,test,142,34,wood,odun,38
signer34_sample370_color,test,40,34,hammer,cekic,49
signer34_sample371_color,test,27,34,baby,bebek,51
signer34_sample372_color,test,192,34,danger,tehlike,62
signer34_sample373_color,test,173,34,hi,selam,57
signer34_sample374_color,test,97,34,not_interested,ilgilenmemek,64
signer34_sample375_color,test,83,34,hospital,hastane,68
signer34_sample376_color,test,102,34,breakfast,kahvalti,65
signer34_sample377_color,test,132,34,stairs,merdiven,61
signer34_sample378_color,test,153,34,trousers,pantolon,51
signer34_sample379_color,test,165,34,hour,saat,55
signer34_sample380_color,test,24,34,glass,bardak,58
signer34_sample381_color,test,146,34,nope,olmaz,55
signer34_sample382_color,test,140,34,oven,ocak,54
signer34_sample383_color,test,17,34,shoe,ayakkabi,63
signer34_sample384_color,test,53,34,full,dolu,58
signer34_sample385_color,test,134,34,manager,mudur,68
signer34_sample386_color,test,198,34,turkey,turkiye,65
signer34_sample387_color,test,4,34,brother,agabey,71
signer34_sample388_color,test,68,34,elephant,fil,73
signer34_sample389_color,test,55,34,yesterday,dun,57
signer34_sample390_color,test,121,34,bridge,kopru,65
signer34_sample391_color,test,138,34,where,nerede,43
signer34_sample392_color,test,22,34,look,bakmak,61
signer34_sample393_color,test,215,34,bed,yatak,78
signer34_sample394_color,test,94,34,drink,icmek,57
signer34_sample395_color,test,64,34,house,ev,53
signer34_sample396_color,test,120,34,dog,kopek,67
signer34_sample397_color,test,54,34,wedding,dugun,61
signer34_sample398_color,test,186,34,okay,tamam,54
signer34_sample399_color,test,129,34,angel,melek,64
signer34_sample400_color,test,187,34,comb,tarak,64
signer34_sample401_color,test,197,34,screwdriver,tornavida,62
signer34_sample402_color,test,2,34,hungry,acikmak,59
signer34_sample403_color,test,91,34,always,hep,45
signer34_sample404_color,test,82,34,ill,hasta,70
signer34_sample405_color,test,1,34,hurry,acele,59
signer34_sample406_color,test,206,34,near,yakin,56
signer34_sample407_color,test,60,34,labor,emek,62
signer34_sample408_color,test,118,34,cologne,kolonya,57
signer34_sample409_color,test,46,34,wallet,cuzdan,51
signer34_sample410_color,test,139,34,grandmother,nine,64
signer34_sample411_color,test,80,34,right,hakli,51
signer34_sample412_color,test,1,34,hurry,acele,57
signer34_sample413_color,test,95,34,needle,igne,60
signer34_sample414_color,test,159,34,window,pencere,78
signer34_sample415_color,test,218,34,cook,yemek_pisirmek,73
signer34_sample416_color,test,28,34,single,bekar,60
signer34_sample417_color,test,191,34,ceiling,tavan,62
signer34_sample418_color,test,150,34,fasting,oruc,45
signer34_sample419_color,test,122,34,bad,kotu,38
signer34_sample420_color,test,195,34,tailor,terzi,57
signer34_sample421_color,test,170,34,hat,sapka,64
signer34_sample422_color,test,125,34,salary,maas,56
signer34_sample423_color,test,56,34,enemy,dusman,61
signer34_sample424_color,test,8,34,family,aile,44
signer34_sample425_color,test,190,34,sweet,tatli,56
signer34_sample426_color,test,51,34,government,devlet,68
signer34_sample427_color,test,87,34,congratulations,hayirli_olsun,60
signer34_sample428_color,test,169,34,champion,sampiyon,63
signer34_sample429_color,test,10,34,unwise,akilsiz,78
signer34_sample430_color,test,128,34,god_preserve,masallah,58
signer34_sample431_color,test,72,34,get_well,gecmis_olsun,63
signer34_sample432_color,test,152,34,cotton,pamuk,62
signer34_sample433_color,test,11,34,kin,akraba,60
signer34_sample434_color,test,174,34,umbrella,semsiye,57
signer34_sample435_color,test,70,34,football,futbol,50
signer34_sample436_color,test,156,34,potato,patates,66
signer34_sample437_color,test,57,34,wall,duvar,52
signer34_sample438_color,test,41,34,ugly,cirkin,66
signer34_sample439_color,test,55,34,yesterday,dun,59
signer34_sample440_color,test,18,34,mirror,ayna,52
signer34_sample441_color,test,34,34,we,biz,65
signer34_sample442_color,test,82,34,ill,hasta,63
signer34_sample443_color,test,196,34,thanks,tesekkur,40
signer34_sample444_color,test,86,34,no,hayir,49
signer34_sample445_color,test,21,34,garden,bahce,70
signer34_sample446_color,test,66,34,married,evli,59
signer34_sample447_color,test,196,34,thanks,tesekkur,59
signer34_sample448_color,test,59,34,glove,eldiven,65
signer34_sample449_color,test,137,34,why,neden,57
signer34_sample450_color,test,213,34,forbidden,yasak,47
signer34_sample451_color,test,87,34,congratulations,hayirli_olsun,55
signer34_sample452_color,test,30,34,I,ben,36
signer34_sample453_color,test,79,34,lightweight,hafif,43
signer34_sample454_color,test,118,34,cologne,kolonya,65
signer34_sample455_color,test,215,34,bed,yatak,57
signer34_sample456_color,test,130,34,be_pleased,memnun_olmak,63
signer34_sample457_color,test,47,34,minute,dakika,55
signer34_sample458_color,test,203,34,sad,uzgun,53
signer34_sample459_color,test,14,34,mother,anne,53
signer34_sample460_color,test,104,34,radiator,kalorifer,47
signer34_sample461_color,test,215,34,bed,yatak,74
signer34_sample462_color,test,151,34,apologize,ozur_dilemek,69
signer34_sample463_color,test,64,34,house,ev,55
signer34_sample464_color,test,183,34,say,soylemek,48
signer34_sample465_color,test,31,34,petrol,benzin,65
signer34_sample466_color,test,179,34,love,sevmek,54
signer34_sample467_color,test,27,34,baby,bebek,51
signer34_sample468_color,test,109,34,belt,kemer,47
signer34_sample469_color,test,136,34,how,nasil,38
signer34_sample470_color,test,181,34,border,sinir,62
signer34_sample471_color,test,95,34,needle,igne,58
signer34_sample472_color,test,125,34,salary,maas,60
signer34_sample473_color,test,106,34,sibling,kardes,67
signer34_sample474_color,test,31,34,petrol,benzin,70
signer34_sample475_color,test,154,34,money,para,59
signer34_sample476_color,test,22,34,look,bakmak,68
signer34_sample477_color,test,140,34,oven,ocak,49
signer34_sample478_color,test,174,34,umbrella,semsiye,64
signer34_sample479_color,test,108,34,accident,kaza,51
signer34_sample480_color,test,185,34,milk,sut,61
signer34_sample481_color,test,173,34,hi,selam,66
signer34_sample482_color,test,104,34,radiator,kalorifer,52
signer34_sample483_color,test,4,34,brother,agabey,72
signer34_sample484_color,test,77,34,show,gostermek,60
signer34_sample485_color,test,15,34,friend,arkadas,64
signer34_sample486_color,test,174,34,umbrella,semsiye,59
signer34_sample487_color,test,147,34,allright,olur,58
signer34_sample488_color,test,117,34,smell,koku,56
signer34_sample489_color,test,219,34,star,yildiz,78
signer34_sample490_color,test,90,34,halal,helal,66
signer34_sample491_color,test,133,34,guest,misafir,65
signer34_sample492_color,test,217,34,eat,yemek,56
signer34_sample493_color,test,38,34,tea,cay,66
signer34_sample494_color,test,151,34,apologize,ozur_dilemek,66
signer34_sample495_color,test,115,34,mince,kiyma,66
signer34_sample496_color,test,94,34,drink,icmek,57
signer34_sample497_color,test,79,34,lightweight,hafif,60
signer34_sample498_color,test,114,34,book,kitap,63
signer34_sample499_color,test,101,34,escape,kacmak,48
signer34_sample500_color,test,119,34,coal,komur,68
signer34_sample501_color,test,110,34,if_only,keske,64
signer34_sample502_color,test,155,34,pastrami,pastirma,54
signer34_sample503_color,test,70,34,football,futbol,55
signer34_sample504_color,test,81,34,carpet,hali,47
signer34_sample505_color,test,141,34,room,oda,64
signer34_sample506_color,test,196,34,thanks,tesekkur,56
signer34_sample507_color,test,175,34,you,sen,48
signer34_sample508_color,test,16,34,ataturk,ataturk,64
signer34_sample509_color,test,5,34,tree,agac,56
signer34_sample510_color,test,122,34,bad,kotu,51
signer34_sample511_color,test,38,34,tea,cay,41
signer34_sample512_color,test,26,34,feast,bayram,61
signer34_sample513_color,test,91,34,always,hep,45
signer34_sample514_color,test,10,34,unwise,akilsiz,81
signer34_sample515_color,test,83,34,hospital,hastane,78
signer34_sample516_color,test,63,34,meal,et,64
signer34_sample517_color,test,116,34,female,kiz,58
signer34_sample518_color,test,119,34,coal,komur,71
signer34_sample519_color,test,158,34,monday,pazartesi,60
signer34_sample520_color,test,43,34,soup,corba,47
signer34_sample521_color,test,156,34,potato,patates,58
signer34_sample522_color,test,57,34,wall,duvar,65
signer34_sample523_color,test,35,34,work,calismak,56
signer34_sample524_color,test,159,34,window,pencere,82
signer34_sample525_color,test,58,34,pharmacy,eczane,65
signer34_sample526_color,test,41,34,ugly,cirkin,39
signer34_sample527_color,test,152,34,cotton,pamuk,61
signer34_sample528_color,test,9,34,wise,akilli,73
signer34_sample529_color,test,145,34,olympiad,olimpiyat,60
signer34_sample530_color,test,164,34,request,rica_etmek,57
signer34_sample531_color,test,191,34,ceiling,tavan,61
signer34_sample532_color,test,24,34,glass,bardak,56
signer34_sample533_color,test,213,34,forbidden,yasak,44
signer34_sample534_color,test,182,34,you,siz,64
signer34_sample535_color,test,171,34,war,savas,59
signer34_sample536_color,test,103,34,pencil,kalem,51
signer34_sample537_color,test,60,34,labor,emek,61
signer34_sample538_color,test,118,34,cologne,kolonya,83
signer34_sample539_color,test,104,34,radiator,kalorifer,48
signer34_sample540_color,test,19,34,same,ayni,54
signer34_sample541_color,test,71,34,past,gecmis,57
signer34_sample542_color,test,53,34,full,dolu,59
signer34_sample543_color,test,220,34,absent,yok,58
signer34_sample544_color,test,83,34,hospital,hastane,80
signer34_sample545_color,test,122,34,bad,kotu,45
signer34_sample546_color,test,158,34,monday,pazartesi,59
